CICLO,ID_PND,DESC_PND,ID_RAMO,DESC_RAMO,ID_UR,DESC_UR,TIPO_PROGRAMA_DERIVADO,ID_PROGRAMA_DERIVADO,DESC_ID_PROGRAMA_DERIVADO,ID_OBJETIVO_PND,OBJETIVO_PND,NO_UR_PARTICIPANTES,ID_INDICADOR,DESC_INDICADOR,METODO_CALCULO,UNIDAD_MEDIDA,FRECUENCIA,DESC_UR_INDICADOR,LINEA_BASE,CICLO_LINEA_BASE,META_2013,META_2014,META_2015,META_2016,META_2017,META_2018,INDICADOR_OBS_2013,INDICADOR_OBS_2014,INDICADOR_OBS_2015,INDICADOR_OBS_2016,INDICADOR_OBS_2017,INDICADOR_OBS_2018,FUENTE,URL_FUENTE,ID_PP_VINCULADO,DESC_ID_PP_VINCULADO,PP_VINCULADO_URL,URL_DOF_PPND,URL_DOF_DECRETO,URL_LOGROS_2013,URL_LOGROS_2014,URL_LOGROS_2015,URL_LOGROS_2016,URL_LOGROS_2017,URL_LOGROS_2018,OBJETIVO_ODS,META_ODS,INDICADOR_ODS,DESC_INDIC_ODS,CÁLCULO_INDICADOR_ODS,LINEA_BASE_ODS,INDICADOR_OBS_ODS_2017,INDICADOR_OBS_ODS_2018
2016,1,México en Paz,2,Oficina de la Presidencia de la República,W00,Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública,Especial,02pe_seguridad_nacional,Programa para la Seguridad Nacional 2014-2018,1,Desarrollar e implementar los fundamentos normativos y operativos que dan sustento al funcionamiento del Sistema de Seguridad Nacional para permitir una atención integral de su agenda con una perspectiva multidimensional,8,1.1,Porcentaje de consolidación del Sistema de Seguridad Nacional (PCSSN),"PCSSN = &lbrack; &sum;(  PCMJSSN + PISPSSN + PIMPCSSN ) / 3 &rbrack;
PCMJSSN: Porcentaje de consolidación del marco jurídico para el funcionamiento del SSN
PISPSSN: Porcentaje de implementación de los sistemas y programas desarrollados para el funcionamiento del SSN
PIMPCSSN: Porcentaje de implementación del modelo de profesionalización y certificación en materia del SSN",Porcentaje,Anual,Secretaría Técnica del Consejo de Seguridad Nacional,No hay línea base,2013,,20,40,60,80,100,,20,20,,,,Sistema de Seguridad Nacional,http://presidencia.gob.mx/seguridadnacional/,,,,http://dof.gob.mx/nota_detalle.php?codigo=5342824&fecha=30/04/2014,http://www.dof.gob.mx/nota_detalle.php?codigo=5342823&fecha=30/04/2014,,http://www.gob.mx/cms/uploads/attachment/file/21077/02pe_seguridad_nacional.pdf,http://www.gob.mx/cms/uploads/attachment/file/59909/02pe_seguridad_nacionalL2015.pdf,,,,,,,,,,,
2016,1,México en Paz,2,Oficina de la Presidencia de la República,W00,Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública,Especial,02pe_seguridad_nacional,Programa para la Seguridad Nacional 2014-2018,2,"Articular la información e inteligencias especializadas del Estado mexicano mediante el establecimiento y operación del Sistema Nacional de Inteligencia, para potenciar la generación de inteligencia estratégica para la Seguridad Nacional",8,1.2,Porcentaje de articulación de la información y las inteligencias especializadas para el Sistema Nacional de Inteligencia (PAIESNI),"PAIESNI = &lbrack; &sum; ( PMIOSNI + PUIE + PDDISN ) / 3 &rbrack;
PMIOSNI: Porcentaje de mecanismos desarrollados requeridos para la integración y operación del Sistema Nacional de Inteligencia
PUIE: Porcentaje de dependencias del Ejecutivo Federal que cuentan con una Unidad de Información o Inteligencia para la producción de inteligencia especializada del total de dependencias programadas
PDDISN: Porcentaje de avance en el desarrollo de una Doctrina de Inteligencia para la Seguridad Nacional",Porcentaje,Anual,Secretaría Técnica del Consejo de Seguridad Nacional,No hay línea base,2013,,20,40,60,80,100,,20,20,,,,Sistema de Seguridad Nacional,http://presidencia.gob.mx/seguridadnacional/,,,,http://dof.gob.mx/nota_detalle.php?codigo=5342824&fecha=30/04/2014,http://www.dof.gob.mx/nota_detalle.php?codigo=5342823&fecha=30/04/2014,,http://www.gob.mx/cms/uploads/attachment/file/21077/02pe_seguridad_nacional.pdf,http://www.gob.mx/cms/uploads/attachment/file/59909/02pe_seguridad_nacionalL2015.pdf,,,,,,,,,,,
2016,1,México en Paz,2,Oficina de la Presidencia de la República,W00,Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública,Especial,02pe_seguridad_nacional,Programa para la Seguridad Nacional 2014-2018,3,"Desarrollar y divulgar la Cultura de Seguridad Nacional del Estado mexicano, para contribuir al conocimiento colectivo sobre el tema",8,1.3,Porcentaje de avance en el desarrollo y la divulgación de la Cultura de Seguridad Nacional (PADDCSN),"PADDCSN = &lbrack; &sum;(PAECE + PADTCSN) / 2 &rbrack;
PAECE: Porcentaje de avance en el establecimiento de un Comité de Estudios para definir los elementos de la cultura de Seguridad Nacional
PADTCSN: Porcentaje de avance en el desarrollo, estudio y difusión de temas y contenidos relacionados con la Seguridad Nacional para el desarrollo integral de una Cultura en la materia",Porcentaje,Anual,Secretaría Técnica del Consejo de Seguridad Nacional,No hay línea base,2013,,14.3,37.33333333,57.33333333,81.33333333,100,,14.3,60,,,,Sistema de Seguridad Nacional,http://presidencia.gob.mx/seguridadnacional/,,,,http://dof.gob.mx/nota_detalle.php?codigo=5342824&fecha=30/04/2014,http://www.dof.gob.mx/nota_detalle.php?codigo=5342823&fecha=30/04/2014,,http://www.gob.mx/cms/uploads/attachment/file/21077/02pe_seguridad_nacional.pdf,http://www.gob.mx/cms/uploads/attachment/file/59909/02pe_seguridad_nacionalL2015.pdf,,,,,,,,,,,
2016,1,México en Paz,2,Oficina de la Presidencia de la República,W00,Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública,Especial,02pe_seguridad_nacional,Programa para la Seguridad Nacional 2014-2018,5,Fortalecer la capacidad de respuesta de las Fuerzas Federales para contribuir tanto al mantenimiento de la Seguridad Interior como a las tareas de Defensa Exterior de la Federación,8,2.2,Porcentaje de fortalecimiento de la capacidad de respuesta de las Fuerzas Federales (PFCRFF),"PFCRFF = &lbrack; &sum;(PCMJOAFF + PECCFF + PPFFAPFC) / 3 &rbrack;
PCMJOAFF= Porcentaje de consolidación del marco jurídico y operativo para sustentar la actuación de las Fuerzas Federales
PECCEFF= Porcentaje de esquemas de coordinación y cooperación entre las Fuerzas Federales
PPFFAPFC= Porcentaje de personal de las Fuerzas Federales atendido en los Programas de Formación y Capacitación",Porcentaje,Anual,Secretaría Técnica del Consejo de Seguridad Nacional,No hay línea base,2013,,26.6,43.125,59.675,76.08,100,,26.6,18.3,,,,Sistema de Seguridad Nacional,http://presidencia.gob.mx/seguridadnacional/,,,,http://dof.gob.mx/nota_detalle.php?codigo=5342824&fecha=30/04/2014,http://www.dof.gob.mx/nota_detalle.php?codigo=5342823&fecha=30/04/2014,,http://www.gob.mx/cms/uploads/attachment/file/21077/02pe_seguridad_nacional.pdf,http://www.gob.mx/cms/uploads/attachment/file/59909/02pe_seguridad_nacionalL2015.pdf,,,,,,,,,,,
2016,1,México en Paz,2,Oficina de la Presidencia de la República,W00,Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública,Especial,02pe_seguridad_nacional,Programa para la Seguridad Nacional 2014-2018,6,Contribuir al mantenimiento de un entorno internacional estable que favorezca los intereses y objetivos nacionales del Estado mexicano,8,2.3,Iniciativas mexicanas promovidas en foros multilaterales en materia de seguridad internacional (IMFMSI),"IMFMSI = ( IA / IAAA ) * 103
IA: Iniciativas aprobadas en el año
IAAA: Iniciativas aprobadas en el año anterior",Iniciativas,Anual,Secretaría de Relaciones Exteriores / Subsecretaría de Asuntos Multilaterales y Derechos Humanos,29,2013,,31,30,31,32,33.64,,31,25,,,,"Comunicados de prensa emitidos por los foros multilaterales, documentos adoptados, informes reglamentarios de las reuniones e informes de los organismos",http://presidencia.gob.mx/seguridadnacional/,,,,http://dof.gob.mx/nota_detalle.php?codigo=5342824&fecha=30/04/2014,http://www.dof.gob.mx/nota_detalle.php?codigo=5342823&fecha=30/04/2014,,http://www.gob.mx/cms/uploads/attachment/file/21077/02pe_seguridad_nacional.pdf,http://www.gob.mx/cms/uploads/attachment/file/59909/02pe_seguridad_nacionalL2015.pdf,,,,,,,,,,,
2016,1,México en Paz,2,Oficina de la Presidencia de la República,W00,Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública,Especial,02pe_seguridad_nacional,Programa para la Seguridad Nacional 2014-2018,4,"Definir anualmente una Agenda Nacional de Riesgos con carácter multidimensional, para promover la atención integral de los temas de Seguridad Nacional mediante el desarrollo de acciones conjuntas a fin de hacer frente a riesgos y amenazas",8,2.1.1,Porcentaje de cumplimiento en la integración multidimensional de la Agenda Nacional de Riesgos con carácter multidimensional (PCIANR),"PCIANR = &lbrack; &sum;(PCEONMANR + PIIPEANR) / 2&rbrack;
PCEONMANR: Porcentaje de cumplimiento en la elaboración y operación de la nueva metodología para la elaboración de la Agenda Nacional de Riesgos
PIIPEANR: Porcentaje de instituciones incorporadas al proceso de elaboración de la Agenda Nacional de Riesgos respecto a las que se determinen para asegurar su carácter multidimensional",Porcentaje,Anual,Secretaría Técnica del Consejo de Seguridad Nacional,No hay línea base,2013,,20,40,60,80,100,,20,20,,,,Sistema de Seguridad Nacional,http://presidencia.gob.mx/seguridadnacional/,,,,http://dof.gob.mx/nota_detalle.php?codigo=5342824&fecha=30/04/2014,http://www.dof.gob.mx/nota_detalle.php?codigo=5342823&fecha=30/04/2014,,http://www.gob.mx/cms/uploads/attachment/file/21077/02pe_seguridad_nacional.pdf,http://www.gob.mx/cms/uploads/attachment/file/59909/02pe_seguridad_nacionalL2015.pdf,,,,,,,,,,,
2016,1,México en Paz,2,Oficina de la Presidencia de la República,W00,Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública,Especial,02pe_seguridad_nacional,Programa para la Seguridad Nacional 2014-2018,4,"Definir anualmente una Agenda Nacional de Riesgos con carácter multidimensional, para promover la atención integral de los temas de Seguridad Nacional mediante el desarrollo de acciones conjuntas a fin de hacer frente a riesgos y amenazas",8,2.1.2,Porcentaje de consolidación de la política en materia de seguridad cibernética y ciberdefensa,"PCMJOSSN= &lbrack; &sum;(PCMJCICI + PFMCNICICI) / 2
PCMJCICI: Porcentaje de consolidación del marco jurídico en materia seguridad cibernética y ciberdefensa
PFMCNICICI: Porcentaje de fortalecimiento de mecanismos de coordinación nacional e internacional para la atención de incidentes de seguridad cibernética y ciberdefensa",Porcentaje,Anual,Secretaría Técnica del Consejo de Seguridad Nacional,0,2013,,12.8,34.49333333,56.02666667,77.41333333,100,,12.8,18.3,,,,Sistema de Seguridad Nacional,http://presidencia.gob.mx/seguridadnacional/,,,,http://dof.gob.mx/nota_detalle.php?codigo=5342824&fecha=30/04/2014,http://www.dof.gob.mx/nota_detalle.php?codigo=5342823&fecha=30/04/2014,,http://www.gob.mx/cms/uploads/attachment/file/21077/02pe_seguridad_nacional.pdf,http://www.gob.mx/cms/uploads/attachment/file/59909/02pe_seguridad_nacionalL2015.pdf,,,,,,,,,,,
2016,5,México con Responsabilidad Global,4,Gobernación,K00,Instituto Nacional de Migración,Especial,04pe_migracion,Programa Especial de Migración 2014-2018,1,"Fomentar una cultura de la legalidad, de derechos humanos y de valoración de la migración",24,1.1,Porcentaje de avance en la armonización de la legislación en Entidades Federativas respecto de la Ley de Migración (ALEF),"Se asume que en la medida que aumente este indicador se habrá avanzado en el fomento de la cultura de la legalidad en las entidades federativas.
ALEF=((&sum;(i=1, j=1) ^ (i=7, j=32) PIILij) / (&sum;(i=1,   j=32) ^ (i=7, j=32)* PIPILij))*100
PIILij:    Precepto i incluido en la legislación de la Entidad Federativa j
PIPILij:  Precepto i por incluir en la legislación de la entidad federativa j
i = 1, 2, ..., 7 preceptos básicos de la Ley de Migración
j= 1, 2, ... 32 Entidades Federativas",Porcentaje,Anual,"Unidad de Política Migratoria (UPM), Dirección General Adjunta de Política Migratoria de la UPM",No hay línea base,2014,,,,,,100,,,ND,,,,"Entidades Federativas.
Similar al proyecto ""Armonización de la legislación de las Entidades Federativas respecto de los instrumentos internacionales de los Derechos Humanos"" de la CNDH. http://200.33.14.34:1005/",http://www.politicamigratoria.gob.mx/,,,,http://www.dof.gob.mx/nota_detalle.php?codigo=5343074&fecha=30/04/2014,http://www.dof.gob.mx/nota_detalle.php?codigo=5343073&fecha=30/04/2014,,http://www.gob.mx/cms/uploads/attachment/file/21085/04pe_migracion.pdf,http://www.gob.mx/cms/uploads/attachment/file/60433/04pe_migraci_nL2015.pdf,,,,,,,,,,,
2016,5,México con Responsabilidad Global,4,Gobernación,K00,Instituto Nacional de Migración,Especial,04pe_migracion,Programa Especial de Migración 2014-2018,1,"Fomentar una cultura de la legalidad, de derechos humanos y de valoración de la migración",24,1.2,Percepción positiva de la población mexicana sobre las personas extranjeras que viven en México (PPPM),"PPPM = (PMOP/PME) *100
PMOP:  Personas mexicanas que tienen una opinión positiva (buena o muy buena)1 de las personas extranjeras que viven en México
PME:  Personas mexicanas encuestadas²
Notas:
1/ Se refiere a la pregunta 24 de la Encuesta México, las Américas y el Mundo, la cual considera las opciones de respuesta buena y muy buena.
2/ Población encuestada: mexicanos de 18 años o más residentes en el territorio nacional ",Porcentaje,Bienal,Unidad de Política Migratoria (UPM),61.1,2013,,62.6,,67,,73,,56.3,NA,,,,"Encuesta México, las Américas y el Mundo. CIDE, 2012-2013",http://www.lasamericasyelmundo.cide.edu/mexico/ ,,,,http://www.dof.gob.mx/nota_detalle.php?codigo=5343074&fecha=30/04/2014,http://www.dof.gob.mx/nota_detalle.php?codigo=5343073&fecha=30/04/2014,,http://www.gob.mx/cms/uploads/attachment/file/21085/04pe_migracion.pdf,http://www.gob.mx/cms/uploads/attachment/file/60433/04pe_migraci_nL2015.pdf,,,,,,,,,,,
2016,2,México Incluyente,4,Gobernación,K00,Instituto Nacional de Migración,Especial,04pe_migracion,Programa Especial de Migración 2014-2018,2,Incorporar el tema migratorio en las estrategias de desarrollo regional y local,24,2.1,Población nacida en el extranjero sin ascendencia mexicana que reside en México (PPE),"Proporción que representa la población nacida en el extranjero sin ascendencia mexicana que reside en México con respecto a la población nacional en un momento dado.
PPE = (PE/PN)*100
PE = Población nacida en el extranjero sin ascendencia mexicana
PN = Población nacional
Nota: Si se considera únicamente a la población nacida en el exterior, una parte importante de esta población incluye a los hijos de mexicanos nacidos en otro país, que son mexicanos por derecho. Así, el numerador no considera a la población nacida en el extranjero que su madre o padre declaró haber nacido en México",Porcentaje,Anual,Unidad de Política Migratoria (UPM),0.52,2013,,0.57,0.63,0.69,0.76,0.84,,0.48,0.49,,,,Microdatos disponibles derivados de los Censos de Población y Vivienda o de encuestas especializadas o no en hogares realizados por el INEGI,http://www.inegi.org.mx/est/contenidos/proyectos/encuestas/hogares/regulares/enoe/default.aspx,,,,http://www.dof.gob.mx/nota_detalle.php?codigo=5343074&fecha=30/04/2014,http://www.dof.gob.mx/nota_detalle.php?codigo=5343073&fecha=30/04/2014,,http://www.gob.mx/cms/uploads/attachment/file/21085/04pe_migracion.pdf,http://www.gob.mx/cms/uploads/attachment/file/60433/04pe_migraci_nL2015.pdf,,,,,,,,,,,
